,Title,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites
33,Log Horizon,,ログ・ホライズン,Log Horizon,TV,25,Finished Airing,"Oct 5, 2013 to Mar 22, 2014",Fall 2013,Saturdays at 17:30 (JST),NHK,"Funimation , Sentai Filmworks",Satelight,Light novel,"Action Action, Adventure Adventure, Fantasy Fantasy","Adult Cast Adult Cast, Video Game Video Game",,24 min. per ep.,PG-13 - Teens 13 or older,"7.91 1 (scored by 578505 578,505 users) 1 indicates a weighted score .",#738 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#131,"1,112,584","10,342"
34,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,"JoJo's Bizarre Adventure Part 3, JoJo's Bizarre Adventure: Stardust Crusaders - Egypt Arc",ジョジョの奇妙な冒険 スターダストクルセイダース エジプト編,JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt,TV,24,Finished Airing,"Jan 10, 2015 to Jun 20, 2015",Winter 2015,Saturdays at 00:30 (JST),"Yomiko Advertising , Warner Bros. Japan , KlockWorx , Medicos Entertainment , Shueisha",VIZ Media,David Production,Manga,"Action Action, Adventure Adventure, Supernatural Supernatural",,Shounen Shounen,23 min. per ep.,R - 17+ (violence & profanity),"8.44 1 (scored by 785674 785,674 users) 1 indicates a weighted score .",#156 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#133,"1,105,494","20,556"
35,Tonari no Totoro,My Neighbour Totoro,となりのトトロ,My Neighbor Totoro,Movie,1,Finished Airing,"Apr 16, 1988",,,"Tokuma Shoten , Streamline Pictures","Disney Platform Distribution , GKIDS",Studio Ghibli,Original,"Adventure Adventure, Award Winning Award Winning, Supernatural Supernatural",,,1 hr. 26 min.,G - All Ages,"8.25 1 (scored by 689779 689,779 users) 1 indicates a weighted score .",#307 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#140,"1,057,584","8,517"
36,Magi: The Labyrinth of Magic,Magi Season 1,マギ The labyrinth of magic,Magi: The Labyrinth of Magic,TV,25,Finished Airing,"Oct 7, 2012 to Mar 31, 2013",Fall 2012,Sundays at 17:00 (JST),"Aniplex , Dentsu , Shogakukan-Shueisha Productions , Mainichi Broadcasting System , Movic , GYAO!",Aniplex of America,A-1 Pictures,Manga,"Action Action, Adventure Adventure, Fantasy Fantasy",,Shounen Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"8.01 1 (scored by 550153 550,153 users) 1 indicates a weighted score .",#610 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#145,"1,039,510","9,239"
37,Sword Art Online: Alicization,"Sword Art Online III, SAO Alicization, Sword Art Online 3, SAO 3",ソードアート・オンライン アリシゼーション,Sword Art Online: Alicization,TV,24,Finished Airing,"Oct 7, 2018 to Mar 31, 2019",Fall 2018,Sundays at 00:00 (JST),"Aniplex , Genco , Bandai Namco Entertainment , Egg Firm , Straight Edge , Kadokawa",Aniplex of America,A-1 Pictures,Light novel,"Action Action, Adventure Adventure, Fantasy Fantasy",,,24 min. per ep.,R - 17+ (violence & profanity),"7.57 1 (scored by 616574 616,574 users) 1 indicates a weighted score .",#1535 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#146,"1,039,183","7,262"
38,Dragon Ball,"Dragonball, DB",ドラゴンボール,Dragon Ball,TV,153,Finished Airing,"Feb 26, 1986 to Apr 12, 1989",Winter 1986,Wednesdays at 19:00 (JST),"Fuji TV , Shueisha",Funimation,Toei Animation,Manga,"Action Action, Adventure Adventure, Comedy Comedy, Fantasy Fantasy","Martial Arts Martial Arts, Super Power Super Power",Shounen Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.97 1 (scored by 665479 665,479 users) 1 indicates a weighted score .",#660 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#148,"1,032,798","15,981"
39,Dr. Stone: Stone Wars,"Dr. Stone 2nd Season, Dr. Stone Second Season",ドクターストーン STONE WARS,,TV,11,Finished Airing,"Jan 14, 2021 to Mar 25, 2021",Winter 2021,Thursdays at 22:30 (JST),"TOHO animation , Shueisha , Toho Music , 8PAN",Funimation,TMS Entertainment,Manga,"Adventure Adventure, Comedy Comedy, Sci-Fi Sci-Fi",,Shounen Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"8.16 1 (scored by 585315 585,315 users) 1 indicates a weighted score .",#415 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#150,"1,030,552","7,293"
40,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"JoJo's Bizarre Adventure Part 5: Golden Wind, JoJo no Kimyou na Bouken Part 5: Ougon no Kaze, Le Bizzarre Avventure Di GioGio Parte 5: Vento Aureo",ジョジョの奇妙な冒険 黄金の風,JoJo's Bizarre Adventure: Golden Wind,TV,39,Finished Airing,"Oct 6, 2018 to Jul 28, 2019",Fall 2018,Saturdays at 01:05 (JST),Warner Bros. Japan,VIZ Media,David Production,Manga,"Action Action, Adventure Adventure, Supernatural Supernatural",,Shounen Shounen,23 min. per ep.,R - 17+ (violence & profanity),"8.57 1 (scored by 679298 679,298 users) 1 indicates a weighted score .",#94 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#152,"1,015,972","31,670"
41,Overlord II,,オーバーロードⅡ,Overlord II,TV,13,Finished Airing,"Jan 9, 2018 to Apr 3, 2018",Winter 2018,Tuesdays at 22:30 (JST),"AT-X , Enterbrain , Grooove , Hakuhodo DY Music & Pictures , NTT Plala , Kadokawa",Funimation,Madhouse,Light novel,"Action Action, Adventure Adventure, Fantasy Fantasy",,,23 min. per ep.,R - 17+ (violence & profanity),"7.76 1 (scored by 631813 631,813 users) 1 indicates a weighted score .",#1046 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#153,"1,015,929","4,502"
42,Fairy Tail (2014),Fairy Tail Season 2,FAIRY TAIL（フェアリーテイル）,Fairy Tail Series 2,TV,102,Finished Airing,"Apr 5, 2014 to Mar 26, 2016",Spring 2014,Saturdays at 10:30 (JST),"TV Tokyo , Dentsu",Funimation,"A-1 Pictures , Bridge",Manga,"Action Action, Adventure Adventure, Fantasy Fantasy",,Shounen Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.65 1 (scored by 556286 556,286 users) 1 indicates a weighted score .",#1315 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#156,"990,470","12,165"
43,Tensei shitara Slime Datta Ken 2nd Season,Tensura 2,転生したらスライムだった件,That Time I Got Reincarnated as a Slime Season 2,TV,12,Finished Airing,"Jan 12, 2021 to Mar 30, 2021",Winter 2021,Tuesdays at 23:00 (JST),Kodansha,Funimation,8bit,Manga,"Action Action, Adventure Adventure, Comedy Comedy, Fantasy Fantasy","Isekai Isekai, Reincarnation Reincarnation",Shounen Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.38 1 (scored by 544930 544,930 users) 1 indicates a weighted score .",#190 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#164,"943,104","10,697"
44,Kami no Tou,"Sin-ui Tap, 신의 탑",神之塔 -Tower of God-,Tower of God,TV,13,Finished Airing,"Apr 2, 2020 to Jun 25, 2020",Spring 2020,Thursdays at 00:30 (JST),"Sega , Crunchyroll , Rialto Entertainment , Sola Entertainment , Naver Webtoons , IRMA LA DOUCE",VIZ Media,Telecom Animation Film,Web manga,"Action Action, Adventure Adventure, Drama Drama, Fantasy Fantasy, Mystery Mystery",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.55 1 (scored by 533325 533,325 users) 1 indicates a weighted score .",#1621 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#180,"917,090","6,418"
45,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,,無職転生 ～異世界行ったら本気だす～ 第2クール,Mushoku Tensei: Jobless Reincarnation Part 2,TV,12,Finished Airing,"Oct 4, 2021 to Dec 20, 2021",Fall 2021,Mondays at 00:00 (JST),"Frontier Works , TOHO , TOHO animation , Tokyo MX , Hakuhodo DY Music & Pictures , BS11 , Egg Firm , Kadokawa , GREE Entertainment",Funimation,Studio Bind,Light novel,"Adventure Adventure, Drama Drama, Fantasy Fantasy, Ecchi Ecchi","Isekai Isekai, Reincarnation Reincarnation",,23 min. per ep.,R - 17+ (violence & profanity),"8.67 1 (scored by 561958 561,958 users) 1 indicates a weighted score .",#63 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#187,"900,951","18,417"
46,Overlord III,,オーバーロードⅢ,Overlord III,TV,13,Finished Airing,"Jul 10, 2018 to Oct 2, 2018",Summer 2018,Tuesdays at 22:00 (JST),"AT-X , Hakuhodo DY Music & Pictures , NTT Plala , Kadokawa",Funimation,Madhouse,Light novel,"Action Action, Adventure Adventure, Fantasy Fantasy",,,23 min. per ep.,R - 17+ (violence & profanity),"7.92 1 (scored by 560224 560,224 users) 1 indicates a weighted score .",#735 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#188,"900,851","5,437"
47,Fumetsu no Anata e,"To You, the Immortal",不滅のあなたへ,To Your Eternity,TV,20,Finished Airing,"Apr 12, 2021 to Aug 30, 2021",Spring 2021,Mondays at 22:50 (JST),"NHK , Kodansha , NHK Enterprises","None found, add some",Brain's Base,Manga,"Adventure Adventure, Drama Drama, Supernatural Supernatural",,Shounen Shounen,25 min. per ep.,R - 17+ (violence & profanity),"8.35 1 (scored by 364453 364,453 users) 1 indicates a weighted score .",#209 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#200,"862,563","14,315"
48,Boruto: Naruto Next Generations,,BORUTO -NARUTO NEXT GENERATIONS-,Boruto: Naruto Next Generations,TV,293,Finished Airing,"Apr 5, 2017 to Mar 26, 2023",Spring 2017,Sundays at 17:30 (JST),"TV Tokyo , Aniplex , Rakuonsha , Shueisha",VIZ Media,Pierrot,Manga,"Action Action, Adventure Adventure, Fantasy Fantasy",,Shounen Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"6.03 1 (scored by 436896 436,896 users) 1 indicates a weighted score .",#9211 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#201,"859,586","7,285"
49,Banana Fish,,BANANA FISH,Banana Fish,TV,24,Finished Airing,"Jul 6, 2018 to Dec 21, 2018",Summer 2018,Fridays at 00:55 (JST),"Aniplex , Dentsu , Movic , Fuji TV , Shogakukan","None found, add some",MAPPA,Manga,"Action Action, Adventure Adventure, Drama Drama, Suspense Suspense","Delinquents Delinquents, Organized Crime Organized Crime, Psychological Psychological",Shoujo Shoujo,22 min. per ep.,R - 17+ (violence & profanity),"8.47 1 (scored by 369525 369,525 users) 1 indicates a weighted score .",#144 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#203,"856,835","30,070"
50,Akatsuki no Yona,Yona: The girl standing in the blush of dawn,暁のヨナ,Yona of the Dawn,TV,24,Finished Airing,"Oct 7, 2014 to Mar 24, 2015",Fall 2014,Tuesdays at 23:00 (JST),"VAP , Hakusensha , AT-X , Delfi Sound , Marvelous AQL , Tokyo MX , Age Global Networks , Docomo Anime Store , Top-Insight International",Funimation,Pierrot,Manga,"Action Action, Adventure Adventure, Fantasy Fantasy, Romance Romance",,Shoujo Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,"8.03 1 (scored by 415083 415,083 users) 1 indicates a weighted score .",#576 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#208,"849,717","16,262"
51,Akira,,AKIRA（アキラ）,Akira,Movie,1,Finished Airing,"Jul 16, 1988",,,"Mainichi Broadcasting System , Kodansha , TOHO , Streamline Pictures","Funimation , Bandai Entertainment , Geneon Entertainment USA",Tokyo Movie Shinsha,Manga,"Action Action, Adventure Adventure, Horror Horror, Sci-Fi Sci-Fi, Supernatural Supernatural","Gore Gore, Military Military",Seinen Seinen,2 hr. 4 min.,R+ - Mild Nudity,"8.16 1 (scored by 511406 511,406 users) 1 indicates a weighted score .",#414 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#210,"847,444","13,768"
52,Magi: The Kingdom of Magic,"Magi: The Labyrinth of Magic 2, Magi Season 2",マギ The kingdom of magic,Magi: The Kingdom of Magic,TV,25,Finished Airing,"Oct 6, 2013 to Mar 30, 2014",Fall 2013,Sundays at 17:00 (JST),"Aniplex , Dentsu , Shogakukan-Shueisha Productions , Mainichi Broadcasting System , Movic , GYAO!",Aniplex of America,A-1 Pictures,Manga,"Action Action, Adventure Adventure, Fantasy Fantasy",,Shounen Shounen,25 min. per ep.,PG-13 - Teens 13 or older,"8.21 1 (scored by 456754 456,754 users) 1 indicates a weighted score .",#351 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#211,"839,085","7,666"
53,Mushishi,,蟲師,Mushi-Shi,TV,26,Finished Airing,"Oct 23, 2005 to Jun 19, 2006",Fall 2005,Sundays at 03:40 (JST),"Avex Entertainment , Marvelous Entertainment , SKY Perfect Well Think , Delfi Sound",Funimation,Artland,Manga,"Adventure Adventure, Mystery Mystery, Slice of Life Slice of Life, Supernatural Supernatural","Adult Cast Adult Cast, Historical Historical, Iyashikei Iyashikei",Seinen Seinen,23 min. per ep.,PG-13 - Teens 13 or older,"8.66 1 (scored by 277242 277,242 users) 1 indicates a weighted score .",#70 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#214,"825,362","26,827"
54,Dragon Ball Super,"Dragon Ball Chou, DB Super, DBS",ドラゴンボール超（スーパー）,Dragon Ball Super,TV,131,Finished Airing,"Jul 5, 2015 to Mar 25, 2018",Summer 2015,Sundays at 09:00 (JST),"Yomiko Advertising , Fuji TV",Funimation,Toei Animation,Manga,"Action Action, Adventure Adventure, Comedy Comedy, Fantasy Fantasy","Martial Arts Martial Arts, Super Power Super Power",Shounen Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.44 1 (scored by 531111 531,111 users) 1 indicates a weighted score .",#2029 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#216,"823,483","10,458"
55,Zero no Tsukaima,Zero's Familiar,ゼロの使い魔,The Familiar of Zero,TV,13,Finished Airing,"Jul 3, 2006 to Sep 25, 2006",Summer 2006,Mondays at 00:30 (JST),"Genco , Media Factory , Shochiku , Bushiroad , Happinet Pictures","Sentai Filmworks , Geneon Entertainment USA",J.C.Staff,Light novel,"Action Action, Adventure Adventure, Comedy Comedy, Fantasy Fantasy, Romance Romance, Ecchi Ecchi","Harem Harem, Isekai Isekai, School School",,23 min. per ep.,PG-13 - Teens 13 or older,"7.22 1 (scored by 462896 462,896 users) 1 indicates a weighted score .",#3116 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#222,"815,513","8,006"
56,Ookami to Koushinryou,Ookami to Koushinryou,狼と香辛料,Spice and Wolf,TV,13,Finished Airing,"Jan 9, 2008 to Mar 26, 2008",Winter 2008,Wednesdays at 01:30 (JST),"Victor Entertainment , Pony Canyon , Movic , Kadokawa Pictures Japan","Funimation , Kadokawa Pictures USA",Imagin,Light novel,"Adventure Adventure, Fantasy Fantasy, Romance Romance",,,24 min. per ep.,PG-13 - Teens 13 or older,"8.22 1 (scored by 391434 391,434 users) 1 indicates a weighted score .",#334 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#223,"812,075","17,961"
57,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,"DanMachi 2nd Season, Is It Wrong That I Want to Meet You in a Dungeon 2nd Season",ダンジョンに出会いを求めるのは間違っているだろうかII,Is It Wrong to Try to Pick Up Girls in a Dungeon? II,TV,12,Finished Airing,"Jul 13, 2019 to Sep 28, 2019",Summer 2019,Saturdays at 00:30 (JST),"Genco , Movic , Warner Bros. Japan , KlockWorx , SoftBank Creative , Hakuhodo DY Music & Pictures , Egg Firm , FuRyu , GREE",Sentai Filmworks,J.C.Staff,Light novel,"Action Action, Adventure Adventure, Fantasy Fantasy",,,24 min. per ep.,PG-13 - Teens 13 or older,"7.24 1 (scored by 466852 466,852 users) 1 indicates a weighted score .",#3002 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#225,"811,160","2,066"
58,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",Gate: Thus the JSDF Fought There!,GATE（ゲート）自衛隊　彼の地にて、斯く戦えり,GATE,TV,12,Finished Airing,"Jul 4, 2015 to Sep 19, 2015",Summer 2015,Saturdays at 00:30 (JST),"Genco , Magic Capsule , Warner Bros. Japan , KlockWorx , Showgate , Bandai Namco Games",Sentai Filmworks,A-1 Pictures,Light novel,"Action Action, Adventure Adventure, Fantasy Fantasy","Isekai Isekai, Military Military",,23 min. per ep.,R - 17+ (violence & profanity),"7.68 1 (scored by 452070 452,070 users) 1 indicates a weighted score .",#1242 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#231,"803,727","6,261"
59,InuYasha,Inu Yasha,犬夜叉,InuYasha,TV,167,Finished Airing,"Oct 16, 2000 to Sep 13, 2004",Fall 2000,Mondays at 19:00 (JST),"Shogakukan-Shueisha Productions , Yomiuri Telecasting",VIZ Media,Sunrise,Manga,"Action Action, Adventure Adventure, Fantasy Fantasy, Romance Romance","Historical Historical, Love Polygon Love Polygon, Mythology Mythology, Time Travel Time Travel",Shounen Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.86 1 (scored by 389637 389,637 users) 1 indicates a weighted score .",#840 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#236,"793,852","18,595"
60,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,"KonoSuba Movie, Eiga Kono Subarashii Sekai ni Shukufuku wo!, Kono Subarashii Sekai ni Shukufuku wo! Movie",映画 この素晴らしい世界に祝福を！紅伝説,KonoSuba: God's Blessing on This Wonderful World! - Legend of Crimson,Movie,1,Finished Airing,"Aug 30, 2019",,,"Nippon Columbia , Toranoana , MAGES. , 81 Produce , Sammy , Kadokawa Media House , Kadokawa , Sony Music Solutions","None found, add some",J.C.Staff,Light novel,"Adventure Adventure, Comedy Comedy, Fantasy Fantasy","Isekai Isekai, Parody Parody",,1 hr. 30 min.,PG-13 - Teens 13 or older,"8.43 1 (scored by 485281 485,281 users) 1 indicates a weighted score .",#159 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#246,"769,111","4,814"
61,Trigun,,トライガン,Trigun,TV,26,Finished Airing,"Apr 1, 1998 to Sep 30, 1998",Spring 1998,Thursdays at 01:15 (JST),Victor Entertainment,Funimation,Madhouse,Manga,"Action Action, Adventure Adventure, Sci-Fi Sci-Fi",,Shounen Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"8.22 1 (scored by 371190 371,190 users) 1 indicates a weighted score .",#328 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#252,"759,223","15,906"
62,Sword Art Online: Alicization - War of Underworld,"Sword Art Online: Alicization 2nd Season, Sword Art Online III 2nd Season, SAO Alicization 2nd Season, Sword Art Online 3 2nd Season, SAO 3 2nd Season, SAO III 2nd Season",ソードアート・オンライン アリシゼーション War of Underworld,Sword Art Online: Alicization - War of Underworld,TV,12,Finished Airing,"Oct 13, 2019 to Dec 29, 2019",Fall 2019,Sundays at 00:00 (JST),"Aniplex , Bandai Namco Entertainment , Egg Firm , Straight Edge , Kadokawa , Sonilude",Aniplex of America,A-1 Pictures,Light novel,"Action Action, Adventure Adventure, Fantasy Fantasy",,,23 min. per ep.,R - 17+ (violence & profanity),"7.58 1 (scored by 450842 450,842 users) 1 indicates a weighted score .",#1530 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#255,"756,530","3,641"
63,Tate no Yuusha no Nariagari Season 2,Tate no Yuusha no Nariagari 2nd Season,盾の勇者の成り上がり Season2,The Rising of the Shield Hero Season 2,TV,13,Finished Airing,"Apr 6, 2022 to Jun 29, 2022",Spring 2022,Wednesdays at 22:00 (JST),"Frontier Works , AT-X , Nippon Columbia , Glovision , Good Smile Company , Sammy , Crunchyroll , Kadokawa Media House , NTT Plala , Kadokawa","None found, add some","Kinema Citrus , DR Movie",Light novel,"Action Action, Adventure Adventure, Drama Drama, Fantasy Fantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"6.52 1 (scored by 260010 260,010 users) 1 indicates a weighted score .",#6587 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#256,"751,211","12,376"
64,Tensei shitara Slime Datta Ken 2nd Season Part 2,Tensura 2,転生したらスライムだった件,That Time I Got Reincarnated as a Slime Season 2 Part 2,TV,12,Finished Airing,"Jul 6, 2021 to Sep 21, 2021",Summer 2021,Tuesdays at 23:00 (JST),"Kodansha , BS11 , Bandai Namco Arts , Micro Magazine Publishing , Bandai Spirits , Sony Music Solutions , ADK Marketing Solutions",Crunchyroll,8bit,Manga,"Action Action, Adventure Adventure, Comedy Comedy, Fantasy Fantasy","Isekai Isekai, Reincarnation Reincarnation",Shounen Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.33 1 (scored by 430101 430,101 users) 1 indicates a weighted score .",#231 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#259,"747,475","10,825"
65,Hai to Gensou no Grimgar,"Grimgal of Ashes and Fantasies, Hai to Gensou no Grimgal",灰と幻想のグリムガル,Grimgar: Ashes and Illusions,TV,12,Finished Airing,"Jan 11, 2016 to Mar 28, 2016",Winter 2016,Mondays at 00:30 (JST),TOHO animation,Funimation,A-1 Pictures,Light novel,"Action Action, Adventure Adventure, Drama Drama, Fantasy Fantasy",,,24 min. per ep.,R - 17+ (violence & profanity),"7.65 1 (scored by 376969 376,969 users) 1 indicates a weighted score .",#1318 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#267,"729,173","6,214"
